"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"16","260006295","CONDO-COOP","Condominium","Hoboken","$1,385,000","1325 ADAMS ST","Hoboken","NJ","07030","ACTIVE","7/8/2026","4/11/2026","11:00 AM EDT","1:00 PM EDT","Open House"
"22","260006056","CONDO-COOP","Condominium","Hoboken","$1,395,000","115 CLINTON ST","Hoboken","NJ","07030","ACTIVE","9/6/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"22","260006056","CONDO-COOP","Condominium","Hoboken","$1,395,000","115 CLINTON ST","Hoboken","NJ","07030","ACTIVE","9/6/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"30","260006281","CONDO-COOP","Condominium","Hoboken","$1,395,000","87 JEFFERSON ST","Hoboken","NJ","07030","ACTIVE","10/8/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"30","260006281","CONDO-COOP","Condominium","Hoboken","$1,395,000","87 JEFFERSON ST","Hoboken","NJ","07030","ACTIVE","10/8/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"19","260006428","CONDO-COOP","Condominium","Hoboken","$1,399,000","1425 GARDEN ST","Hoboken","NJ","07030","ACTIVE","8/31/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"19","260006428","CONDO-COOP","Condominium","Hoboken","$1,399,000","1425 GARDEN ST","Hoboken","NJ","07030","ACTIVE","8/31/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"44","260006361","CONDO-COOP","Condominium","Hoboken","$1,749,000","1125 MAXWELL LANE","Hoboken","NJ","07030","ACTIVE","9/30/2026","4/11/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"42","260006205","CONDO-COOP","Condominium","Hoboken","$1,949,000","629 JEFFERSON ST","Hoboken","NJ","07030","ACTIVE","8/8/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"42","260006205","CONDO-COOP","Condominium","Hoboken","$1,949,000","629 JEFFERSON ST","Hoboken","NJ","07030","ACTIVE","8/8/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"39","260001232","CONDO-COOP","Condominium","Hoboken","$1,975,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","1/23/2027","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"39","260001232","CONDO-COOP","Condominium","Hoboken","$1,975,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","1/23/2027","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"50","250021804","CONDO-COOP","Condominium","Hoboken","$1,999,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"43","260005056","CONDO-COOP","Condominium","Hoboken","$1,999,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","3/23/2027","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"43","260005056","CONDO-COOP","Condominium","Hoboken","$1,999,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","3/23/2027","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"50","250021804","CONDO-COOP","Condominium","Hoboken","$1,999,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"42","260006125","CONDO-COOP","Condominium","Hoboken","$2,175,000","100 PATERSON AVE","Hoboken","NJ","07030","ACTIVE","8/1/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"40","260006161","CONDO-COOP","Condominium","Hoboken","$2,499,000","411 MONROE ST","Hoboken","NJ","07030","ACTIVE","7/11/2026","4/11/2026","12:00 PM EDT","3:00 PM EDT","Open House"
"40","260006161","CONDO-COOP","Condominium","Hoboken","$2,499,000","411 MONROE ST","Hoboken","NJ","07030","ACTIVE","7/11/2026","4/12/2026","12:00 PM EDT","3:00 PM EDT","Open House"
